,Electrical_SBrkr,WoodDeckSF,RemodAge,LotConfig_CulDSac,LotArea,Foundation_PConc,BsmtExposure_Gd,OpenPorchSF,OverallQual,Fence_GdWo,Foundation_BrkTil,Electrical_FuseF,LotFrontage_median,BedroomAbvGr,FullBath,firstFlrSF,HouseStyle_2Story,LotConfig_Inside,hasGarage,BsmtExposure_No,BldgType_Twnhs,HalfBath,BsmtFullBath,CentralAir_Y,Heating_Grav,Fence_MnPrv,HouseStyle_1.5Fin,BldgType_2fmCon,Fireplaces,GarageArea,BsmtExposure_Av
133,1.0,0.0,45,0.0,8500.0,0.0,0.0,0.0,5,1.0,0.0,0.0,85.0,2.0,1,1235.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0
134,1.0,144.0,4,0.0,11317.0,1.0,0.0,68.0,7,0.0,0.0,0.0,72.0,3.0,2,840.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0
135,1.0,0.0,58,0.0,3636.0,0.0,0.0,0.0,4,0.0,1.0,0.0,40.0,2.0,1,796.0,0.0,1.0,False,1.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
136,1.0,273.6,31,0.0,4224.0,1.0,0.0,90.0,5,0.0,0.0,0.0,44.0,3.0,1,1142.0,0.0,1.0,True,1.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,1.0,528.0,0.0
137,1.0,38.0,1,0.0,7500.0,1.0,0.0,112.0,7,0.0,0.0,0.0,62.0,3.0,2,1266.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,453.0,0.0
138,1.0,0.0,33,0.0,4928.0,0.0,0.0,60.0,6,0.0,0.0,0.0,70.0,2.0,2,958.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0
139,1.0,216.0,5,0.0,8791.0,1.0,0.0,56.0,6,0.0,0.0,0.0,64.0,3.0,2,864.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0
140,1.0,0.0,58,0.0,12155.0,0.0,0.0,0.0,6,0.0,1.0,0.0,70.0,3.6,2,810.0,1.0,1.0,True,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0
141,1.0,0.0,56,0.0,8850.0,0.0,0.0,0.0,7,0.0,1.0,0.0,65.0,3.0,1,815.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,225.0,0.0
142,1.0,273.6,41,0.0,9364.0,0.0,0.0,36.0,6,0.0,0.0,0.0,80.0,3.6,1,663.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,299.0,0.0
143,1.0,0.0,0,0.0,9849.0,1.0,0.0,56.0,7,0.0,0.0,0.0,83.0,3.0,2,1689.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,728.05,1.0
144,1.0,0.0,58,0.0,5700.0,1.0,0.0,0.0,7,0.0,0.0,0.0,70.0,2.0,1,572.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,288.0,0.0
145,1.0,149.0,4,0.0,4426.0,1.0,0.0,0.0,6,0.0,0.0,0.0,70.0,1.0,1,848.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,420.0,1.0
146,1.0,0.0,11,0.0,7200.0,0.0,0.0,65.0,5,0.0,0.0,0.0,60.0,2.0,1,803.0,0.0,0.0,True,1.0,0.0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,297.0,0.0
147,1.0,0.0,43,0.0,11200.0,0.0,0.0,0.0,5,0.0,0.0,0.0,70.0,3.0,1,1040.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0
148,1.0,210.0,0,0.0,9612.0,1.0,0.0,112.0,8,0.0,0.0,0.0,74.0,3.0,2,1468.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
149,1.0,0.0,4,0.0,9591.0,1.0,0.0,26.0,8,0.0,0.0,0.0,76.0,3.0,2,1692.3000000000002,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,1.0
150,1.0,273.6,18,0.0,11218.0,1.0,0.0,104.0,6,0.0,0.0,0.0,70.0,3.0,2,1055.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,462.0,0.0
151,1.0,0.0,1,1.0,10463.0,1.0,0.0,112.0,8,0.0,0.0,0.0,72.0,3.0,2,901.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
153,1.0,0.0,12,0.0,6993.0,0.0,0.0,0.0,5,0.0,0.0,0.0,65.0,3.0,1,1236.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,288.0,0.0
154,1.0,0.0,10,0.0,9430.0,1.0,0.0,112.0,8,0.0,0.0,0.0,82.0,3.0,2,1268.0,1.0,1.0,True,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
155,1.0,0.0,53,0.0,9855.0,0.0,0.0,0.0,6,0.0,0.0,0.0,73.0,3.0,1,1689.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,480.0,0.0
156,1.0,0.0,50,0.0,9300.0,0.0,0.0,0.0,5,0.0,0.0,0.0,73.0,3.0,1,1264.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.6,461.0,0.0
158,1.0,0.0,1,0.0,11096.0,1.0,0.0,112.0,8,0.0,0.0,0.0,84.0,3.0,2,1656.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,728.05,1.0
160,1.0,0.0,8,0.0,2160.0,1.0,0.0,48.0,7,0.0,0.0,0.0,29.599999999999998,2.0,2,624.0,1.0,1.0,True,1.0,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0
161,1.0,215.0,37,0.0,7200.0,0.0,0.0,0.0,5,0.0,0.0,0.0,60.0,2.0,1,894.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,600.0,1.0
162,0.0,0.0,57,0.0,8263.0,0.0,0.0,22.0,6,0.0,1.0,0.0,59.0,2.0,1,1012.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,308.0,0.0
163,1.0,0.0,53,0.0,10215.0,1.0,0.0,0.0,4,0.0,0.0,0.0,75.0,3.0,1,948.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0
164,1.0,192.0,0,0.0,6371.0,1.0,0.0,35.0,7,0.0,0.0,0.0,44.0,2.0,2,1358.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,484.0,0.0
165,1.0,0.0,44,0.0,10175.0,0.0,0.0,0.0,6,0.0,0.0,0.0,90.4,3.0,2,1425.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,576.0,0.0
166,1.0,104.0,3,0.0,11999.0,1.0,0.0,100.0,8,0.0,0.0,0.0,90.4,3.6,2,1234.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,656.0,0.0
168,1.0,0.0,40,0.0,10355.0,0.0,0.0,111.0,5,0.0,0.0,0.0,70.0,3.0,2,1214.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,318.0,0.0
170,1.0,84.0,18,1.0,13923.6,0.0,0.0,70.0,7,0.0,0.0,0.0,90.0,3.0,2,1692.3000000000002,0.0,0.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,701.0,0.0
171,1.0,55.0,4,0.0,11040.0,0.0,0.0,0.0,6,0.0,0.0,0.0,80.0,3.0,2,1258.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,528.0,0.0
173,1.0,238.0,31,0.0,10125.0,0.0,0.0,83.0,6,0.0,0.0,0.0,75.0,3.0,2,1279.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,1.6,473.0,0.0
174,1.0,0.0,0,0.0,13923.6,1.0,1.0,0.0,8,0.0,0.0,0.0,90.4,3.0,2,1692.3000000000002,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,712.0,0.0
175,1.0,0.0,9,0.0,9350.0,1.0,1.0,92.0,5,0.0,0.0,0.0,85.0,3.0,2,1265.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,502.0,0.0
176,1.0,0.0,46,0.0,8000.0,0.0,0.0,0.0,5,0.0,0.0,0.0,80.0,3.6,2,1692.3000000000002,0.0,0.0,False,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,1.0,0.0,5,0.0,10918.0,0.0,0.0,0.0,7,0.0,1.0,0.0,53.0,3.0,1,1276.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,1.6,282.0,0.0
178,1.0,180.0,0,0.0,11302.0,1.0,1.0,75.0,8,0.0,0.0,0.0,69.0,3.0,2,1692.3000000000002,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
179,1.0,0.0,1,0.0,3675.0,1.0,1.0,28.0,5,0.0,0.0,0.0,35.0,2.0,1,1072.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0
180,1.0,0.0,7,0.0,9808.0,1.0,0.0,72.0,7,0.0,0.0,0.0,67.0,3.0,2,1573.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0
181,1.0,0.0,0,0.0,13891.0,1.0,1.0,102.0,8,0.0,0.0,0.0,90.4,2.0,2,1692.3000000000002,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
182,1.0,156.0,2,0.0,3182.0,1.0,0.0,20.0,7,0.0,0.0,0.0,43.0,2.0,2,1504.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,437.0,0.0
183,1.0,273.6,31,0.0,9101.0,1.0,0.0,30.0,5,0.0,0.0,0.0,70.0,1.0,1,1110.0,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,602.0,1.0
184,1.0,0.0,2,0.0,9600.0,0.0,0.0,80.0,5,0.0,0.0,0.0,80.0,3.0,1,1113.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,264.0,0.0
185,1.0,196.0,36,0.0,7200.0,0.0,0.0,0.0,5,0.0,0.0,0.0,60.0,2.0,1,780.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,352.0,1.0
186,1.0,0.0,1,0.0,11409.0,0.0,0.0,0.0,5,0.0,0.0,0.0,60.0,3.0,1,1148.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,281.0,0.0
187,1.0,0.0,0,0.0,9541.0,1.0,0.0,112.0,7,0.0,0.0,0.0,79.0,3.0,2,1502.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,644.0,0.0
188,1.0,149.0,4,0.0,4438.0,1.0,0.0,0.0,6,0.0,0.0,0.0,70.0,1.0,1,848.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,420.0,1.0
189,1.0,0.0,58,0.0,8520.0,0.0,0.0,0.0,5,0.0,0.0,0.0,71.0,3.6,2,910.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,720.0,0.0
190,1.0,273.6,9,0.0,8246.0,0.0,0.0,90.0,5,0.0,0.0,0.0,70.0,3.0,1,1060.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,1.0,0.0,0.0,1.0,270.0,0.0
191,1.0,0.0,0,0.0,11639.0,1.0,0.0,112.0,7,0.0,0.0,0.0,90.4,3.0,2,1428.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0
192,1.0,0.0,40,0.0,8900.0,0.0,0.0,42.0,4,0.0,0.0,0.0,70.0,2.0,1,1056.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,384.0,0.0
193,1.0,0.0,0,0.0,12444.0,1.0,0.0,66.0,8,0.0,0.0,0.0,90.4,2.0,2,1692.3000000000002,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,1.0
194,1.0,232.0,16,0.0,9765.0,1.0,0.0,63.0,6,0.0,0.0,0.0,70.0,3.0,2,680.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,420.0,0.0
195,1.0,0.0,22,0.0,11029.0,0.0,0.0,65.0,6,0.0,0.0,0.0,70.0,3.6,2,1512.0,1.0,0.0,True,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,619.0,0.0
196,1.0,0.0,50,0.0,7931.0,0.0,0.0,0.0,5,0.0,0.0,0.0,70.0,3.0,1,1148.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0
197,1.0,100.0,3,0.0,8244.0,1.0,0.0,48.0,7,0.0,0.0,0.0,62.0,3.0,2,840.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,440.0,0.0
198,1.0,273.6,17,0.0,10800.0,0.0,0.0,21.0,5,0.0,0.0,0.0,60.0,3.0,2,1096.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,566.0,0.0
199,1.0,0.0,59,0.0,7015.0,0.0,0.0,0.0,5,0.0,0.0,0.0,70.0,3.0,1,979.0,0.0,0.0,True,1.0,0.0,0,1,1.0,0.0,0.0,1.0,0.0,1.0,352.0,0.0
200,1.0,0.0,6,0.0,9240.0,1.0,0.0,45.0,8,0.0,0.0,0.0,70.0,3.0,2,1055.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
201,1.0,0.0,18,0.0,13837.0,1.0,0.0,0.0,7,0.0,0.0,0.0,70.0,3.6,2,1377.0,0.0,0.0,True,1.0,0.0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,728.05,0.0
202,1.0,273.6,3,0.0,9022.0,0.0,0.0,0.0,5,0.0,1.0,0.0,52.0,2.0,1,792.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0
203,1.0,188.0,6,0.0,11194.0,1.0,0.0,112.0,8,0.0,0.0,0.0,90.4,3.0,2,1454.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,504.0,0.0
204,1.0,0.0,49,0.0,9000.0,0.0,0.0,24.0,5,0.0,0.0,0.0,70.0,3.0,1,1006.0,0.0,1.0,False,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,1.0,161.0,0,0.0,4045.0,1.0,0.0,20.0,7,0.0,0.0,0.0,53.0,2.0,2,1500.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,648.0,1.0
206,1.0,0.0,9,0.0,2280.0,1.0,0.0,0.0,7,0.0,0.0,0.0,29.599999999999998,3.0,2,757.0,1.0,1.0,True,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0
207,1.0,209.0,31,0.0,11475.0,0.0,0.0,112.0,6,0.0,0.0,0.0,85.0,3.0,2,811.0,1.0,1.0,True,1.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,1.0,434.0,0.0
209,1.0,0.0,56,0.0,7588.0,0.0,0.0,0.0,7,0.0,1.0,0.0,54.0,3.6,1,901.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,216.0,0.0
211,1.0,0.0,3,0.0,7875.0,1.0,0.0,75.0,7,0.0,0.0,0.0,63.0,3.0,2,807.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,393.0,0.0
212,0.0,0.0,59,0.0,7879.0,0.0,0.0,112.0,4,1.0,0.0,0.0,60.0,2.0,1,720.0,0.0,1.0,False,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,1.0,0.0,42,0.0,7150.0,0.0,0.0,0.0,5,1.0,0.0,0.0,65.0,3.0,1,892.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0
215,1.0,0.0,45,0.0,7590.0,0.0,0.0,112.0,5,0.0,0.0,0.0,69.0,3.6,2,876.0,1.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,264.0,0.0
216,1.0,0.0,49,0.0,9750.0,0.0,0.0,0.0,6,0.0,0.0,0.0,75.0,3.6,1,1442.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0
217,1.0,0.0,22,0.0,10410.0,0.0,0.0,0.0,5,0.0,0.0,0.0,60.0,3.0,2,808.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,180.0,0.0
218,0.0,0.0,50,0.0,11600.0,0.0,0.0,0.0,5,0.0,0.0,0.0,80.0,3.6,2,1105.0,1.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0
219,1.0,168.0,19,0.0,4671.0,1.0,0.0,112.0,8,0.0,0.0,0.0,40.0,2.0,2,1228.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,472.0,0.0
220,1.0,0.0,15,0.0,8012.0,1.0,0.0,0.0,6,0.0,0.0,0.0,50.0,2.0,2,1575.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0
221,1.0,0.0,58,0.0,9600.0,0.0,0.0,0.0,6,0.0,1.0,0.0,60.0,3.0,1,1134.0,0.0,1.0,True,1.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,396.0,0.0
222,1.0,0.0,5,0.0,13923.6,0.0,0.0,36.0,6,0.0,0.0,0.0,80.0,3.0,1,1152.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0
223,1.0,273.6,5,0.0,12134.0,0.0,0.0,12.0,8,0.0,0.0,0.0,90.4,3.6,2,1080.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,492.0,1.0
224,1.0,100.0,0,0.0,10991.0,1.0,1.0,36.0,8,0.0,0.0,0.0,89.0,3.0,2,1571.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,722.0,0.0
225,1.0,0.0,14,0.0,9828.0,1.0,0.0,112.0,8,0.0,0.0,0.0,80.0,3.0,2,1142.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,466.0,0.0
226,1.0,0.0,14,0.0,7153.0,1.0,0.0,112.0,6,0.0,0.0,0.0,65.0,3.0,2,810.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,484.0,0.0
227,1.0,0.0,0,0.0,4230.0,1.0,0.0,112.0,7,0.0,0.0,0.0,47.0,2.0,2,1352.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,466.0,0.0
229,1.0,36.0,3,0.0,8199.0,1.0,0.0,18.0,7,0.0,0.0,0.0,63.0,3.0,2,728.0,1.0,1.0,True,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,410.0,1.0
230,1.0,192.0,45,0.0,8700.0,0.0,0.0,20.0,5,0.0,0.0,0.0,80.0,3.0,2,1128.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,525.0,0.0
231,1.0,0.0,44,0.0,7728.0,0.0,0.0,18.0,5,1.0,0.0,0.0,70.0,3.0,1,1190.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,540.0,1.0
232,1.0,240.0,31,0.0,10010.0,0.0,0.0,38.0,5,0.0,0.0,0.0,77.0,2.0,1,1389.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,418.0,1.0
233,1.0,0.0,59,0.0,7558.0,0.0,0.0,0.0,6,0.0,1.0,0.0,57.0,3.0,1,1172.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,342.0,0.0
235,1.0,0.0,58,0.0,7420.0,0.0,0.0,4.0,5,0.0,1.0,0.0,50.0,2.0,1,1077.0,0.0,0.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1.6,205.0,0.0
236,1.0,0.0,0,0.0,3000.0,1.0,0.0,112.0,6,0.0,0.0,0.0,30.0,2.0,2,612.0,1.0,1.0,True,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,528.0,1.0
237,1.0,0.0,56,0.0,6435.0,0.0,0.0,0.0,6,0.0,1.0,0.0,65.0,3.0,1,972.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,312.0,0.0
239,1.0,0.0,42,0.0,8450.0,0.0,0.0,85.0,5,0.0,0.0,0.0,65.0,3.0,1,1056.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,304.0,0.0
240,1.0,0.0,42,0.0,10778.0,0.0,0.0,0.0,4,0.0,0.0,0.0,72.0,3.6,2,1692.3000000000002,0.0,1.0,False,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1.0,58.0,10,0.0,3880.0,0.0,0.0,42.0,5,0.0,0.0,0.0,40.0,2.0,1,866.0,0.0,1.0,False,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,1.0,243.0,31,0.0,11184.0,0.0,0.0,0.0,6,0.0,0.0,0.0,70.0,3.0,2,918.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,440.0,0.0
243,1.0,250.0,53,0.0,8400.0,0.0,0.0,0.0,5,0.0,0.0,0.0,70.0,3.0,1,1314.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0
245,1.0,208.0,38,0.0,10793.0,0.0,0.0,0.0,5,1.0,0.0,0.0,80.0,3.6,2,780.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0
246,1.0,0.0,29,0.0,8400.0,0.0,0.0,50.0,6,0.0,0.0,0.0,70.0,3.0,2,888.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,476.0,0.0
247,1.0,0.0,3,0.0,12000.0,0.0,0.0,36.0,5,1.0,0.0,0.0,90.4,2.0,1,1122.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,528.0,0.0
248,0.0,0.0,56,0.0,9142.0,0.0,0.0,60.0,6,0.0,0.0,0.0,69.0,3.6,2,908.0,1.0,1.0,True,1.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,440.0,0.0
249,1.0,218.0,16,0.0,7500.0,0.0,0.0,0.0,5,0.0,0.0,0.0,75.0,3.0,1,1246.0,0.0,1.0,True,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0
250,1.0,120.0,7,0.0,7750.0,1.0,0.0,0.0,8,0.0,0.0,0.0,70.0,3.0,2,779.0,0.0,1.0,True,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,527.0,0.0
251,1.0,144.0,0,1.0,13923.6,1.0,0.0,60.0,7,0.0,0.0,0.0,50.0,3.0,2,1670.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,690.0,0.0
252,1.0,0.0,37,0.0,13923.6,0.0,0.0,73.0,6,0.0,0.0,0.0,70.0,3.0,2,1692.3000000000002,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,540.0,1.0
253,0.0,90.0,58,0.0,6120.0,0.0,0.0,0.0,7,0.0,1.0,1.0,51.0,2.0,2,1022.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,1.6,468.0,0.0
254,0.0,0.0,48,0.0,5900.0,1.0,0.0,0.0,4,0.0,0.0,0.0,51.0,2.0,1,869.0,0.0,1.0,False,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,1.0,0.0,59,0.0,5520.0,0.0,0.0,112.0,6,0.0,0.0,0.0,90.4,3.6,1,929.0,0.0,0.0,False,1.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
256,1.0,0.0,26,0.0,9144.0,0.0,0.0,0.0,5,0.0,0.0,0.0,70.0,3.0,1,988.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,240.0,0.0
257,1.0,0.0,1,0.0,3316.0,1.0,0.0,84.0,8,0.0,0.0,0.0,37.0,1.0,1,1247.0,0.0,1.0,True,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,550.0,0.0
258,1.0,273.6,17,1.0,13923.6,0.0,0.0,63.0,7,0.0,0.0,0.0,46.0,3.0,2,1236.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,542.0,0.0
259,1.0,0.0,34,0.0,9600.0,0.0,0.0,0.0,7,0.0,0.0,0.0,80.0,3.0,1,1242.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,528.0,0.0
261,0.0,64.0,53,0.0,8926.0,0.0,0.0,0.0,4,0.0,0.0,0.0,70.0,3.0,1,960.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,288.0,0.0
262,1.0,273.6,13,0.0,13923.6,1.0,1.0,44.0,7,0.0,0.0,0.0,80.0,3.0,2,1306.0,1.0,1.0,True,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0
263,1.0,64.0,5,0.0,7800.0,1.0,0.0,0.0,5,0.0,0.0,0.0,65.0,3.0,1,899.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,288.0,0.0
265,1.0,0.0,14,0.0,6120.0,0.0,0.0,0.0,4,0.0,1.0,0.0,51.0,3.0,1,989.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,240.0,0.0
