LotFrontage,LotArea,Alley,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,isNew,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,firstFlrSF,secondFlrSF,GrLivArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,hasGarage,GarageArea,GarageCond,WoodDeckSF,Nr.Ring,OpenPorchSF,PoolQC,Fence,MiscFeature,MoSold,YrSold,SalePrice
60.0,9000,,Corner,Gtl,SawyerW,1Fam,1.5Unf,6,3,1928,False,1950,Gable,CompShg,TA,TA,BrkTil,784,GasA,TA,N,FuseA,784,0,784,Fa,Fa,No,0,1,0,2,TA,5,0,,2,True,360,Fa,0,2,0,,,,10,2009,76000
,53107,,Corner,Mod,ClearCr,1Fam,2Story,6,5,1992,False,1992,Gable,CompShg,Gd,TA,PConc,1580,GasA,Ex,Y,SBrkr,1079,874,1953,Gd,TA,Av,1,2,1,3,Gd,9,2,Fa,2,True,501,TA,216,2,231,,,,6,2007,240000
43.0,3182,,Inside,Gtl,Blmngtn,TwnhsE,1Story,8,5,2004,True,2005,Gable,CompShg,Gd,TA,PConc,1256,GasA,Ex,Y,SBrkr,1269,0,1269,Gd,TA,No,0,2,0,2,Gd,6,1,TA,2,True,430,TA,146,2,20,,,,4,2010,192000
58.0,8410,,FR2,Gtl,Edwards,1Fam,1.5Fin,5,3,1910,False,1996,Gambrel,CompShg,TA,Fa,PConc,658,GasA,TA,Y,SBrkr,658,526,1184,TA,TA,No,0,1,0,5,TA,8,0,,0,False,0,,0,2,151,,,,5,2006,81000
72.0,7200,,Inside,Gtl,Edwards,1Fam,SLvl,6,6,1976,False,1976,Hip,CompShg,TA,TA,CBlock,1041,GasA,Ex,Y,SBrkr,1125,0,1125,TA,TA,Av,1,1,0,3,TA,6,1,Fa,1,True,352,TA,296,2,0,,GdWo,,10,2009,125000
93.0,9382,,CulDSac,Gtl,CollgCr,1Fam,1Story,7,5,1999,False,2000,Gable,CompShg,Gd,TA,PConc,1468,GasA,Ex,Y,SBrkr,1479,0,1479,Gd,TA,No,0,2,0,3,Gd,6,0,,2,True,577,TA,120,2,25,,,,7,2008,191000
96.0,12474,,Inside,Gtl,NridgHt,1Fam,2Story,10,5,2007,True,2008,Gable,CompShg,Ex,TA,PConc,1682,GasA,Ex,Y,SBrkr,1742,590,2332,Ex,TA,Av,1,2,1,3,Ex,9,1,Ex,3,True,846,TA,196,2,134,,,,8,2008,426000
50.0,8405,Grvl,Inside,Gtl,Edwards,1Fam,1.5Fin,5,8,1900,False,1950,Gable,CompShg,TA,TA,BrkTil,861,GasA,Ex,Y,SBrkr,961,406,1367,TA,Gd,No,1,1,0,4,TA,7,0,,1,True,384,TA,0,2,130,,MnPrv,,4,2008,119000
71.0,12209,,CulDSac,Gtl,Mitchel,1Fam,2Story,6,5,2001,True,2002,Gable,CompShg,TA,TA,PConc,804,GasA,Ex,Y,SBrkr,804,1157,1961,Ex,TA,No,1,2,1,3,Gd,7,1,TA,2,True,560,TA,125,2,192,,,,6,2009,215000
,8339,,Inside,Gtl,NAmes,1Fam,1Story,5,7,1959,False,1959,Gable,CompShg,TA,TA,Slab,0,GasA,TA,Y,SBrkr,882,0,882,,,,0,1,0,3,TA,5,0,,1,True,294,TA,0,2,0,,MnPrv,Shed,7,2007,106500
,7446,,Corner,Gtl,BrkSide,1Fam,1Story,4,5,1941,False,1950,Gable,CompShg,TA,TA,CBlock,788,GasA,TA,Y,FuseA,788,0,788,TA,TA,No,0,1,0,2,TA,4,2,TA,0,False,0,,0,2,0,,GdWo,,4,2006,100000
60.0,10134,,Inside,Gtl,OldTown,1Fam,1.5Fin,5,6,1940,False,1950,Gable,CompShg,TA,TA,CBlock,735,GasA,Gd,Y,FuseA,735,299,1034,TA,TA,No,0,1,0,2,TA,5,0,,1,True,240,TA,0,2,39,,,,7,2007,109000
68.0,9571,,Inside,Gtl,Edwards,1Fam,1Story,5,6,1956,False,1956,Gable,CompShg,TA,TA,CBlock,1144,GasA,TA,Y,SBrkr,1144,0,1144,TA,TA,Av,1,1,0,3,TA,6,0,,1,True,596,TA,44,2,0,,,,6,2010,129000
60.0,7200,,Inside,Gtl,CollgCr,1Fam,1Story,5,5,1972,False,1972,Hip,CompShg,TA,TA,CBlock,894,GasA,TA,Y,SBrkr,894,0,894,TA,TA,Av,0,1,0,2,TA,6,0,,2,True,600,TA,215,2,0,,,,9,2009,123000
69.0,7590,,Inside,Gtl,NAmes,1Fam,2Story,5,5,1962,False,1962,Gable,CompShg,TA,TA,CBlock,864,GasA,TA,Y,SBrkr,876,936,1812,TA,TA,No,0,2,0,4,TA,8,1,TA,1,True,264,TA,0,2,168,,,,7,2007,169500
60.0,8967,,Corner,Gtl,IDOTRR,1Fam,1Story,5,2,1920,False,1950,Gable,CompShg,TA,Fa,BrkTil,961,GasA,Gd,Y,Mix,1077,0,1077,Fa,Po,No,0,1,0,2,TA,6,0,,1,True,338,Po,0,2,0,,,,11,2007,67000
65.0,8125,,Inside,Gtl,Somerst,1Fam,2Story,7,5,2006,True,2007,Gable,CompShg,Gd,TA,PConc,1092,GasA,Ex,Y,SBrkr,1112,438,1550,Gd,TA,No,1,2,0,2,Gd,7,0,,2,True,438,TA,0,2,168,,,,10,2009,241000
38.0,14963,,Inside,Gtl,Veenker,TwnhsE,1Story,8,5,1996,False,1996,Gable,CompShg,Gd,TA,PConc,1260,GasA,Ex,Y,SBrkr,1288,0,1288,Gd,TA,No,1,1,1,1,Ex,4,2,Gd,2,True,500,TA,120,2,30,,,,12,2008,245500
65.0,8767,,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2005,True,2005,Gable,CompShg,Gd,TA,PConc,1310,GasA,Ex,Y,SBrkr,1310,0,1310,Gd,TA,Av,0,2,0,3,Gd,6,1,Gd,2,True,400,TA,0,2,0,,,,7,2006,164990
60.0,10200,,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1940,False,1997,Gable,CompShg,TA,TA,PConc,672,GasA,Ex,Y,SBrkr,672,0,672,TA,TA,No,0,1,0,2,TA,4,0,,1,True,240,TA,168,2,0,,GdPrv,,8,2008,108000
93.0,12090,,Corner,Gtl,NoRidge,1Fam,2Story,8,5,1998,False,1998,Hip,CompShg,Gd,TA,PConc,1141,GasA,Gd,Y,SBrkr,1165,1098,2263,Gd,TA,No,0,2,1,4,Gd,10,1,TA,2,True,420,TA,144,2,123,,,,7,2006,258000
,10364,,Inside,Gtl,Gilbert,1Fam,2Story,6,5,1995,False,1996,Gable,CompShg,TA,TA,PConc,806,GasA,Gd,Y,SBrkr,806,766,1572,Gd,TA,No,0,2,1,3,TA,7,1,TA,2,True,373,TA,0,2,40,,,,5,2007,168000
,9991,,Corner,Gtl,Sawyer,1Fam,1Story,4,4,1976,False,1993,Gable,CompShg,TA,TA,CBlock,1281,GasA,Ex,Y,SBrkr,1620,0,1620,TA,TA,No,1,2,0,3,TA,8,1,TA,2,True,490,TA,120,2,78,,GdWo,,6,2009,150000
51.0,10480,,Inside,Gtl,SWISU,1Fam,1.5Fin,6,5,1936,False,1950,Gable,CompShg,TA,TA,BrkTil,1064,GasA,Ex,Y,FuseA,1166,0,1639,TA,TA,No,0,1,0,3,TA,6,0,,1,True,240,TA,0,2,0,,,,3,2008,115000
63.0,15576,,Inside,Gtl,Crawfor,1Fam,2Story,6,7,1915,False,1976,Gable,CompShg,TA,TA,BrkTil,840,GasA,Ex,Y,SBrkr,840,840,1680,Gd,TA,No,0,2,0,4,TA,8,0,,1,True,308,TA,0,2,0,,,,3,2008,177000
109.0,14154,,Corner,Gtl,NridgHt,1Fam,2Story,7,5,2006,True,2006,Gable,CompShg,Gd,TA,PConc,1063,GasA,Ex,Y,SBrkr,1071,1101,2172,Ex,Gd,No,0,2,1,3,Gd,9,1,Gd,3,True,947,TA,192,2,62,,,,8,2007,280000
85.0,10800,,Inside,Gtl,Somerst,1Fam,2Story,8,5,2007,True,2008,Gable,CompShg,Gd,TA,PConc,1034,GasA,Ex,Y,SBrkr,1050,1028,2078,Ex,TA,No,1,2,1,3,Ex,8,1,Gd,3,True,836,TA,0,2,102,,,,4,2008,339750
68.0,9571,,Inside,Gtl,Edwards,1Fam,1Story,5,3,1958,False,1958,Gable,CompShg,TA,Fa,CBlock,1276,GasA,TA,Y,FuseA,1276,0,1276,TA,Fa,No,0,1,0,3,TA,5,0,,1,True,350,TA,0,2,0,,,,6,2009,60000
100.0,34650,,Inside,Gtl,Gilbert,2fmCon,1Story,5,5,1955,False,1955,Hip,CompShg,TA,TA,CBlock,1056,GasA,TA,N,SBrkr,1056,0,1056,TA,TA,Mn,1,1,0,3,TA,5,0,,2,True,572,TA,264,2,0,,,,1,2006,145000
,4403,,Inside,Gtl,Somerst,1Fam,1Story,7,5,2009,True,2009,Gable,CompShg,Ex,TA,PConc,1470,GasA,Ex,Y,SBrkr,1478,0,1478,Ex,TA,Av,1,2,1,2,Gd,7,1,Gd,2,True,484,TA,0,2,144,,,,6,2010,222000
56.0,8960,Grvl,Inside,Gtl,OldTown,1Fam,1Story,5,6,1927,False,1950,Gable,CompShg,TA,TA,CBlock,1008,GasA,Gd,Y,FuseA,1028,0,1028,TA,TA,No,0,1,0,2,TA,5,1,Gd,2,True,360,TA,0,2,0,,,,3,2010,115000
59.0,11228,,CulDSac,Gtl,SawyerW,1Fam,2Story,7,5,1993,False,1993,Gable,CompShg,Gd,TA,PConc,1080,GasA,Ex,Y,SBrkr,1080,1017,2097,Gd,TA,No,0,2,1,3,Gd,9,1,TA,3,True,678,TA,196,2,187,,,,12,2008,228000
73.0,8899,,Inside,Gtl,Gilbert,1Fam,1Story,7,5,2007,True,2007,Gable,CompShg,Gd,TA,PConc,1340,GasA,Ex,Y,SBrkr,1340,0,1340,Gd,TA,Av,0,2,0,3,Gd,6,0,,2,True,396,TA,100,2,30,,,,8,2007,181134
74.0,7844,,Inside,Gtl,Sawyer,1Fam,2Story,6,7,1978,False,1978,Hip,CompShg,TA,TA,CBlock,672,GasA,TA,Y,SBrkr,672,728,1400,TA,TA,No,0,1,1,3,TA,6,1,TA,2,True,440,TA,0,2,0,,,,3,2006,149500
86.0,22420,,Inside,Gtl,Crawfor,1Fam,2Story,6,6,1918,False,1950,Hip,CompShg,TA,TA,BrkTil,1370,GasW,TA,N,FuseA,1370,1254,2624,Gd,TA,No,1,2,1,4,TA,10,1,Gd,3,True,864,TA,0,2,0,,,,11,2007,239000
60.0,8160,,Inside,Gtl,Edwards,1Fam,1.5Fin,5,6,1940,False,1950,Gable,CompShg,TA,TA,BrkTil,756,GasA,Fa,N,FuseF,756,378,1134,TA,TA,No,1,1,1,3,TA,7,0,,1,True,240,TA,0,2,0,,,,4,2007,126000
65.0,8450,,Inside,Gtl,NAmes,1Fam,1Story,5,6,1968,False,1968,Gable,CompShg,TA,TA,CBlock,1056,GasA,Ex,Y,SBrkr,1056,0,1056,TA,TA,No,1,1,0,3,TA,6,1,Fa,1,True,304,TA,0,2,85,,,,7,2010,142000
78.0,7060,,Inside,Gtl,Mitchel,Duplex,SFoyer,7,5,1997,False,1998,Gable,CompShg,TA,Gd,PConc,1344,GasA,Ex,Y,SBrkr,1344,0,1344,Gd,Gd,Gd,2,2,0,2,TA,8,0,,4,True,784,TA,0,2,0,,,,11,2008,206300
,16635,,FR2,Gtl,NWAmes,1Fam,1Story,6,7,1977,False,2000,Gable,CompShg,Gd,TA,CBlock,1602,GasA,Gd,Y,SBrkr,1602,0,1602,Gd,TA,No,0,2,0,3,Gd,8,1,TA,2,True,529,TA,240,2,0,,,,6,2009,215000
100.0,21750,,Inside,Mod,Mitchel,1Fam,1Story,5,5,1954,False,1954,Hip,CompShg,TA,TA,CBlock,988,GasA,Ex,Y,FuseA,988,0,988,TA,TA,No,0,1,0,2,TA,4,0,,2,True,520,TA,0,2,0,,,,2,2008,113000
80.0,9200,,Inside,Gtl,NoRidge,1Fam,2Story,8,5,1998,False,1998,Gable,CompShg,Gd,TA,PConc,1470,GasA,Gd,Y,SBrkr,1470,1160,2630,Gd,TA,No,1,2,1,4,Gd,8,1,TA,3,True,696,TA,0,2,66,,,,6,2008,315000
72.0,9000,,Inside,Gtl,NAmes,1Fam,1Story,6,5,1956,False,1956,Gable,CompShg,TA,TA,CBlock,1196,GasA,Gd,Y,FuseA,1196,0,1196,Gd,TA,No,1,1,0,2,TA,6,1,Gd,1,True,297,TA,0,2,44,,,,5,2008,139000
60.0,3378,Grvl,Inside,Gtl,OldTown,1Fam,2Story,7,8,1946,False,1992,Gable,CompShg,TA,Gd,CBlock,651,GasA,Gd,Y,SBrkr,707,682,1389,TA,TA,No,0,1,1,3,TA,6,2,Gd,1,True,240,TA,0,2,0,,,,9,2009,135000
,12800,,Inside,Mod,SawyerW,1Fam,SLvl,7,5,1989,False,1989,Gable,CompShg,Gd,TA,PConc,1518,GasA,Gd,Y,SBrkr,1644,0,1644,Gd,TA,Gd,1,2,0,2,Gd,5,1,TA,2,True,569,TA,80,2,0,,,,8,2009,275000
77.0,8593,,Inside,Gtl,NAmes,1Fam,1Story,4,6,1957,False,1957,Hip,CompShg,TA,TA,CBlock,907,GasA,Ex,Y,SBrkr,907,0,907,TA,TA,No,0,1,0,3,TA,5,0,,1,True,352,TA,0,2,0,,,,7,2008,109008
64.0,6762,,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2007,True,2007,Gable,CompShg,Gd,TA,PConc,1208,GasA,Ex,Y,SBrkr,1208,0,1208,Gd,TA,No,1,2,0,2,Gd,6,0,,2,True,628,TA,105,2,54,,,,9,2007,195400
130.0,11457,,Corner,Gtl,Timber,1Fam,1Story,6,5,1988,False,1988,Gable,CompShg,TA,TA,CBlock,1392,GasA,TA,Y,SBrkr,1412,0,1412,Gd,TA,Mn,1,2,0,3,Gd,6,1,TA,2,True,576,TA,0,2,0,,,,3,2009,175000
21.0,1680,,Inside,Gtl,BrDale,Twnhs,2Story,6,5,1971,False,1971,Gable,CompShg,TA,TA,CBlock,483,GasA,TA,Y,SBrkr,483,504,987,TA,TA,No,0,1,1,2,TA,4,0,,1,True,264,TA,0,2,0,,,,7,2008,85400
60.0,5586,,Inside,Gtl,OldTown,1Fam,1.5Fin,6,7,1920,False,1998,Gable,CompShg,TA,TA,BrkTil,901,GasA,Gd,Y,SBrkr,1088,110,1198,TA,TA,No,0,1,0,4,TA,7,0,,0,False,0,,0,2,98,,MnPrv,,9,2008,79900
24.0,1920,,Inside,Gtl,BrDale,TwnhsE,2Story,5,5,1971,False,1971,Gable,CompShg,TA,TA,CBlock,765,GasA,Ex,Y,SBrkr,765,600,1365,TA,TA,No,1,1,1,2,TA,6,0,,2,True,440,TA,240,2,36,,,,8,2007,122500
100.0,10839,,Corner,Gtl,Gilbert,1Fam,2Story,6,5,1997,False,1998,Gable,CompShg,TA,TA,PConc,926,GasA,Ex,Y,SBrkr,926,678,1604,Gd,TA,No,0,2,1,3,TA,7,1,TA,2,True,470,TA,0,2,36,,,,7,2008,181000
21.0,1890,,Inside,Gtl,MeadowV,Twnhs,SFoyer,4,7,1972,False,1972,Gable,CompShg,TA,Gd,CBlock,630,GasA,Gd,Y,SBrkr,630,0,630,Gd,TA,Av,1,1,0,1,TA,3,0,,0,False,0,,88,2,0,,,,6,2008,81000
43.0,10667,,CulDSac,Gtl,CollgCr,1Fam,2Story,7,6,1996,False,1996,Gable,CompShg,Gd,TA,PConc,799,GasA,Ex,Y,SBrkr,827,834,1661,Gd,TA,Av,1,2,1,3,Gd,6,1,TA,2,True,550,TA,158,2,61,,,,4,2009,212000
40.0,4400,,Inside,Gtl,OldTown,1Fam,1.5Fin,6,8,1920,False,1950,Gable,CompShg,TA,TA,BrkTil,648,GasA,TA,Y,FuseA,734,384,1118,Fa,TA,No,0,1,0,2,TA,6,0,,2,True,440,TA,0,2,0,,,,10,2006,116000
50.0,6000,,Inside,Gtl,BrkSide,1Fam,1.5Unf,6,7,1926,False,2004,Gable,CompShg,Gd,TA,PConc,884,GasA,Gd,Y,SBrkr,904,0,904,TA,TA,No,0,1,0,2,TA,4,0,,1,True,180,TA,0,2,0,,,,1,2009,119000
40.0,4280,,Inside,Gtl,Crawfor,1Fam,1Story,5,6,1913,False,2002,Gable,CompShg,TA,TA,PConc,440,GasA,TA,N,SBrkr,694,0,694,TA,TA,No,0,1,0,2,Gd,4,1,Gd,1,True,352,TA,0,2,0,,MnPrv,,3,2007,90350
67.0,12354,Grvl,Corner,Gtl,Edwards,1Fam,1.5Fin,6,8,1920,False,2000,Gable,CompShg,TA,TA,BrkTil,684,GasA,Gd,Y,SBrkr,684,512,1196,TA,Fa,Mn,0,1,0,3,Gd,7,0,,2,True,528,TA,0,2,46,,GdPrv,Shed,8,2009,110000
105.0,15431,,Inside,Gtl,NridgHt,1Fam,1Story,10,5,2008,True,2008,Hip,CompShg,Ex,TA,PConc,3094,GasA,Ex,Y,SBrkr,2402,0,2402,Ex,TA,Gd,1,2,0,2,Ex,10,2,Gd,3,True,672,TA,0,2,72,,,,4,2009,555000
92.0,12108,,Inside,Gtl,Edwards,Duplex,1Story,4,4,1955,False,1955,Gable,CompShg,TA,TA,CBlock,1440,GasA,TA,N,FuseF,1440,0,1440,TA,TA,No,0,2,0,4,Fa,8,0,,0,False,0,,0,2,0,,,,9,2008,118000
52.0,6240,,Inside,Gtl,BrkSide,1Fam,1.5Fin,5,7,1930,False,1992,Gable,CompShg,TA,TA,PConc,1078,GasA,TA,Y,SBrkr,1128,445,1573,TA,TA,No,0,2,0,3,TA,8,1,Gd,2,True,360,TA,0,2,0,,,,6,2008,162900
53.0,3922,,Inside,Gtl,Blmngtn,TwnhsE,1Story,7,5,2006,True,2007,Gable,CompShg,Gd,TA,PConc,1258,GasA,Ex,Y,SBrkr,1258,0,1258,Ex,TA,Av,0,2,0,2,Gd,6,1,Gd,3,True,648,TA,144,2,16,,,,6,2007,172500
70.0,8750,,Inside,Gtl,CollgCr,1Fam,2Story,7,5,1994,False,1995,Gable,CompShg,Gd,Gd,PConc,915,GasA,Ex,Y,SBrkr,933,975,1908,Gd,TA,No,1,2,1,4,Gd,8,1,TA,2,True,493,TA,144,2,133,,,,7,2008,210000
73.0,9855,,Corner,Gtl,Edwards,1Fam,1Story,6,5,1956,False,1956,Hip,CompShg,TA,TA,CBlock,1436,GasA,Fa,Y,SBrkr,1689,0,1689,TA,TA,No,0,1,0,3,TA,7,1,Gd,2,True,480,TA,0,2,0,,MnPrv,,11,2009,127500
137.0,16492,,Corner,Gtl,NAmes,1Fam,1Story,6,6,1966,False,2002,Gable,CompShg,Gd,TA,CBlock,1517,GasA,Ex,Y,SBrkr,1888,0,1888,TA,TA,No,0,2,1,2,Gd,6,1,Gd,2,True,578,TA,0,2,0,,,,6,2010,190000
,11214,,Corner,Gtl,Gilbert,1Fam,2Story,7,5,1998,False,1999,Gable,CompShg,Gd,TA,PConc,930,GasA,Gd,Y,SBrkr,956,930,1886,Gd,TA,No,0,2,1,4,Gd,10,1,TA,2,True,431,TA,89,2,0,,,,7,2006,199900
50.0,8600,,Inside,Gtl,IDOTRR,1Fam,1.5Fin,6,6,1937,False,1950,Gable,CompShg,TA,TA,BrkTil,780,GasA,TA,Y,SBrkr,780,596,1376,TA,TA,No,0,2,0,3,TA,7,1,Gd,1,True,198,TA,0,2,0,,,,6,2006,119500
50.0,6000,,Inside,Gtl,OldTown,1Fam,1.5Fin,3,7,1948,False,2002,Gable,CompShg,TA,Gd,CBlock,649,GasA,Ex,Y,SBrkr,679,504,1183,TA,TA,No,0,1,1,2,TA,6,0,,1,True,308,TA,0,2,176,,,,6,2007,120000
70.0,5684,,Inside,Gtl,OldTown,1Fam,1Story,6,8,1930,False,2005,Hip,CompShg,TA,TA,BrkTil,813,GasA,Ex,Y,FuseA,813,0,813,TA,TA,No,0,1,0,2,Gd,5,0,,1,True,270,Fa,0,2,113,,,,6,2006,110000
62.0,70761,,Inside,Mod,ClearCr,1Fam,1Story,7,5,1975,False,1975,Gable,WdShngl,TA,TA,CBlock,1533,GasA,TA,Y,SBrkr,1533,0,1533,Gd,TA,Gd,1,2,0,2,Gd,5,2,TA,2,True,576,TA,200,2,54,,,,12,2006,280000
,9303,,Corner,Gtl,Timber,1Fam,2Story,6,5,1996,False,1997,Hip,CompShg,Gd,TA,PConc,872,GasA,Ex,Y,SBrkr,888,868,1756,Ex,TA,No,1,2,1,3,TA,7,0,,2,True,422,TA,144,2,122,,,,7,2007,204000
75.0,9000,,Inside,Gtl,Somerst,1Fam,2Story,8,5,2008,True,2008,Gable,CompShg,Gd,TA,PConc,768,GasA,Ex,Y,SBrkr,786,804,1590,Gd,TA,No,0,2,1,3,Gd,6,0,,2,True,676,TA,0,2,30,,,,6,2009,210000
63.0,9297,,Inside,Gtl,Mitchel,Duplex,1Story,5,5,1976,False,1976,Gable,CompShg,TA,TA,CBlock,1728,GasA,TA,Y,SBrkr,1728,0,1728,TA,TA,No,2,2,0,4,TA,8,0,,2,True,560,TA,0,2,0,,,,7,2006,188000
80.0,9600,,Inside,Gtl,NWAmes,1Fam,1Story,7,6,1973,False,1973,Hip,CompShg,TA,TA,CBlock,1242,GasA,Fa,Y,SBrkr,1242,0,1242,TA,TA,No,0,1,1,3,TA,6,1,TA,2,True,528,TA,0,2,0,,,,9,2007,175500
34.0,4571,Grvl,Inside,Gtl,OldTown,1Fam,2Story,5,5,1916,False,1950,Gable,CompShg,TA,TA,BrkTil,624,GasA,Fa,N,SBrkr,624,720,1344,TA,TA,No,0,1,0,4,TA,7,0,,3,True,513,Fa,0,2,0,,,,5,2008,98000
,53227,,CulDSac,Mod,ClearCr,1Fam,1Story,4,6,1954,False,1994,Flat,Tar&Grv,TA,TA,CBlock,1364,GasA,Ex,Y,SBrkr,1663,0,1663,Gd,TA,Gd,1,1,0,2,Gd,6,2,Gd,2,True,529,TA,224,2,137,,,,3,2008,256000
,5100,Grvl,Inside,Gtl,OldTown,1Fam,2Story,8,7,1925,False,1996,Hip,CompShg,TA,Gd,PConc,588,GasA,Fa,Y,SBrkr,833,833,1666,TA,TA,No,0,1,0,3,Gd,7,1,Gd,1,True,228,TA,192,2,63,,MnPrv,,6,2008,161000
,7015,,Corner,Gtl,BrkSide,1Fam,1.5Fin,5,4,1950,False,1950,Gable,CompShg,TA,TA,CBlock,709,GasA,TA,Y,SBrkr,979,224,1203,TA,TA,No,1,1,0,3,Gd,5,1,TA,1,True,352,TA,0,2,0,,,,7,2009,110000
75.0,8004,,Inside,Gtl,Somerst,1Fam,2Story,8,5,2009,True,2009,Gable,CompShg,Gd,TA,PConc,832,GasA,Ex,Y,SBrkr,832,1103,1935,Gd,TA,No,1,2,1,3,TA,8,0,,2,True,552,TA,0,2,150,,,,12,2009,263435
60.0,7200,,Inside,Gtl,SWISU,1Fam,2Story,7,9,1936,False,2007,Gable,CompShg,Gd,Gd,PConc,560,GasA,Ex,Y,SBrkr,575,560,1135,Gd,Gd,No,1,1,0,3,Gd,6,0,,2,True,576,TA,256,2,0,,MnPrv,,4,2009,155000
60.0,8281,,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,False,1965,Gable,CompShg,TA,TA,CBlock,864,GasA,Gd,Y,SBrkr,864,0,864,TA,TA,No,0,1,0,3,TA,5,1,Po,1,True,360,TA,0,2,0,,GdWo,,12,2009,62383
74.0,11988,,Inside,Mod,Crawfor,1Fam,2Story,6,7,1934,False,1995,Hip,CompShg,TA,TA,CBlock,715,GasA,Fa,Y,FuseA,849,811,1660,TA,TA,No,0,1,1,3,TA,6,1,Gd,1,True,240,TA,0,2,0,,,,8,2008,188700
60.0,8430,,Inside,Mod,CollgCr,1Fam,1Story,5,5,1978,False,1978,Gable,CompShg,TA,TA,CBlock,1040,GasA,TA,Y,SBrkr,1040,0,1040,Gd,TA,No,0,2,0,3,TA,5,0,,0,False,0,,0,2,0,,,,8,2009,124000
,3072,,Inside,Gtl,Blmngtn,TwnhsE,1Story,7,5,2004,True,2004,Hip,CompShg,Gd,TA,PConc,1375,GasA,Ex,Y,SBrkr,1414,0,1414,Gd,TA,No,0,2,0,2,Gd,6,1,TA,2,True,398,TA,144,2,20,,,,5,2006,178740
85.0,10628,,Inside,Gtl,NAmes,1Fam,1Story,7,5,1970,False,1970,Flat,Tar&Grv,TA,Gd,CBlock,1277,GasA,TA,Y,SBrkr,1277,0,1277,TA,Gd,Gd,1,1,0,2,TA,5,1,Po,2,True,526,TA,0,2,0,,GdWo,,4,2007,167000
79.0,9480,,Inside,Gtl,NAmes,1Fam,2Story,5,7,1942,False,1995,Gable,CompShg,TA,TA,CBlock,728,GasA,Ex,Y,SBrkr,888,756,1644,TA,TA,No,0,1,1,3,Gd,7,2,Gd,1,True,312,TA,168,2,0,,,,6,2007,146500
98.0,11428,,Inside,Gtl,NridgHt,1Fam,1Story,8,5,2006,True,2006,Gable,CompShg,Gd,TA,PConc,1626,GasA,Ex,Y,SBrkr,1634,0,1634,Gd,TA,No,0,2,0,3,Gd,7,1,Gd,3,True,866,TA,0,2,44,,,,5,2007,250000
76.0,9291,,Corner,Gtl,SawyerW,1Fam,2Story,6,5,1993,False,1993,Gable,CompShg,Gd,TA,PConc,832,GasA,Ex,Y,SBrkr,832,878,1710,Gd,TA,No,0,2,1,3,Gd,7,0,,2,True,506,TA,144,2,70,,,,6,2008,187000
,6820,,Corner,Gtl,StoneBr,TwnhsE,1Story,8,5,1985,False,1985,Gable,CompShg,Gd,TA,PConc,1488,GasA,TA,Y,SBrkr,1502,0,1502,Gd,TA,Av,1,1,1,1,Gd,4,0,,2,True,528,TA,0,2,54,,,,6,2010,212000
92.0,11952,,Inside,Gtl,NWAmes,1Fam,2Story,7,6,1977,False,1977,Mansard,WdShake,TA,TA,CBlock,808,GasA,TA,Y,SBrkr,1161,808,1969,Gd,TA,No,0,2,1,3,TA,8,1,Gd,2,True,534,TA,0,2,0,,,,11,2007,190000
35.0,3675,,Inside,Gtl,Edwards,TwnhsE,SLvl,6,5,2005,True,2005,Gable,CompShg,TA,TA,PConc,547,GasA,Ex,Y,SBrkr,1072,0,1072,Gd,TA,Gd,1,1,0,2,TA,5,0,,2,True,525,TA,0,2,28,,,,6,2008,148000
110.0,14977,,Inside,Gtl,NridgHt,1Fam,1Story,8,5,2006,True,2007,Gable,CompShg,Gd,TA,PConc,1976,GasA,Ex,Y,SBrkr,1976,0,1976,Ex,TA,Gd,1,2,0,2,Gd,7,1,Ex,3,True,908,TA,250,2,63,,,,7,2007,440000
41.0,5330,,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,2000,False,2000,Gable,CompShg,Gd,TA,PConc,1494,GasA,Ex,Y,SBrkr,1652,0,1652,Gd,TA,Av,1,2,0,2,Ex,6,0,,2,True,499,TA,96,2,48,,,,8,2007,251000
80.0,8480,,Corner,Gtl,Sawyer,1Fam,1Story,5,6,1963,False,1963,Hip,CompShg,TA,TA,CBlock,970,GasA,TA,Y,SBrkr,970,0,970,TA,TA,No,1,1,0,2,TA,5,0,,2,True,624,TA,0,2,24,,,,7,2007,132500
75.0,13125,,Inside,Mod,CollgCr,1Fam,1Story,6,5,1997,False,1998,Gable,CompShg,TA,TA,PConc,1478,GasA,Ex,Y,SBrkr,1493,0,1493,Gd,TA,Gd,1,2,0,3,Gd,7,1,TA,2,True,508,TA,140,2,39,,,,4,2008,208900
